step,L_total,L_det,L_perc,L_reg,p_max,delta_linf,delta_l2
1,0.7257140874862671,0.7256686687469482,0.045442305505275726,0.0,0.9074552655220032,0.009999992325901985,0.698585569858551
2,0.7234383225440979,0.7233920693397522,0.04626471549272537,1.4951648154237773e-05,0.9086003303527832,0.020013459026813507,1.1095612049102783
3,0.7241227030754089,0.724075198173523,0.04745522886514664,3.771832780330442e-05,0.9123595952987671,0.030031682923436165,1.480470895767212
4,0.7001523971557617,0.7001035213470459,0.048837680369615555,6.715055496897548e-05,0.8879857659339905,0.04002673178911209,1.8390361070632935
5,0.6966049075126648,0.69655442237854,0.050369419157505035,0.00010361684689996764,0.88612961769104,0.05000923573970795,2.1168155670166016
6,0.6937965154647827,0.6937445402145386,0.05188223719596863,0.00013728273916058242,0.8841984272003174,0.06011075899004936,2.3783044815063477
7,0.6917865872383118,0.6917331218719482,0.05328677222132683,0.00017329449474345893,0.8823626637458801,0.07028138637542725,2.6202476024627686
8,0.6880910992622375,0.6880360841751099,0.05478697270154953,0.00021034613018855453,0.8806202411651611,0.08035212010145187,2.853628396987915
9,0.6827793717384338,0.682722806930542,0.05630898475646973,0.0002494851651135832,0.8787389397621155,0.08997102081775665,3.0872864723205566
10,0.6773513555526733,0.6772931218147278,0.05791913717985153,0.0002920140395872295,0.8767354488372803,0.09880097955465317,3.302495241165161
11,0.6730068922042847,0.6729470491409302,0.05948024243116379,0.0003341444826219231,0.8749555349349976,0.10920432955026627,3.5110154151916504
12,0.6709395051002502,0.6708781123161316,0.06100921705365181,0.0003776724624913186,0.8729392886161804,0.11971819400787354,3.698272228240967
13,0.667163610458374,0.6671009063720703,0.06231384724378586,0.0004190324107185006,0.8707942962646484,0.1297486573457718,3.8808653354644775
14,0.6627485156059265,0.662684440612793,0.06357603520154953,0.0004614312492776662,0.8689047694206238,0.1398063749074936,4.061938285827637
15,0.6593114137649536,0.6592461466789246,0.06478326767683029,0.0005054946523159742,0.8667632341384888,0.14987291395664215,4.246107578277588
16,0.6537754535675049,0.6537089347839355,0.06600732356309891,0.000552372308447957,0.8644425272941589,0.15989157557487488,4.430582046508789
17,0.6484967470169067,0.6484289169311523,0.0672483742237091,0.000601411156821996,0.8614987730979919,0.16980336606502533,4.618089199066162
18,0.6433497667312622,0.6432806253433228,0.0685008093714714,0.0006533930427394807,0.8581428527832031,0.17957095801830292,4.807939052581787
19,0.636122465133667,0.6360520124435425,0.0697481632232666,0.000708219304215163,0.8543078899383545,0.18933720886707306,5.001556873321533
20,0.6316659450531006,0.6315940618515015,0.07112625241279602,0.0007664085133001208,0.8503252863883972,0.19891992211341858,5.196682453155518
21,0.6263782978057861,0.6263049244880676,0.07251615822315216,0.0008273746934719384,0.8471677899360657,0.2080392986536026,5.384829521179199
22,0.6226696372032166,0.6225947141647339,0.07403405755758286,0.000888369744643569,0.8467304110527039,0.21635474264621735,5.572925567626953
23,0.6180964112281799,0.6180198192596436,0.07562150806188583,0.0009515165584161878,0.8449914455413818,0.2240920066833496,5.759385585784912
24,0.6119773387908936,0.6118991374969482,0.07717109471559525,0.0010162538383156061,0.8425439596176147,0.23139862716197968,5.948309898376465
25,0.6058582663536072,0.6057783365249634,0.07886189967393875,0.0010840193135663867,0.8380420207977295,0.23870734870433807,6.13634729385376
26,0.5982624888420105,0.5981806516647339,0.08068624138832092,0.0011536384699866176,0.834523618221283,0.24598298966884613,6.333232879638672
27,0.5908816456794739,0.5907977819442749,0.08260835707187653,0.0012288554571568966,0.8310233354568481,0.2532200217247009,6.528385639190674
28,0.583713948726654,0.5836279988288879,0.08462238311767578,0.0013057544128969312,0.8269152641296387,0.26334303617477417,6.723001480102539
29,0.5742426514625549,0.5741547346115112,0.08657533675432205,0.0013847656082361937,0.8231669664382935,0.2750079333782196,6.916241645812988
30,0.5645734667778015,0.5644834041595459,0.08856568485498428,0.0014655147679150105,0.8190324902534485,0.2861173748970032,7.104783535003662
31,0.5538092851638794,0.5537171363830566,0.09060132503509521,0.0015465059550479054,0.8130614757537842,0.2981058657169342,7.2962822914123535
32,0.5388753414154053,0.5387810468673706,0.09270274639129639,0.0016309968195855618,0.8042007088661194,0.3104178011417389,7.490342617034912
33,0.5191668272018433,0.5190701484680176,0.09493912756443024,0.0017189104110002518,0.7934809923171997,0.3229508697986603,7.687327861785889
34,0.5024932622909546,0.5023941397666931,0.09734159708023071,0.0018105091294273734,0.7816078662872314,0.3358122408390045,7.886472225189209
35,0.47620853781700134,0.47610676288604736,0.09986555576324463,0.001905528362840414,0.7636956572532654,0.34892022609710693,8.086267471313477
36,0.4455319941043854,0.4454270899295807,0.10289538651704788,0.0020033002365380526,0.735228419303894,0.36185747385025024,8.289295196533203
37,0.3973231017589569,0.3972148299217224,0.10614936053752899,0.002105159917846322,0.6954874992370605,0.3750232458114624,8.496881484985352
38,0.3617575466632843,0.3616458773612976,0.10946246981620789,0.0022119178902357817,0.6667732000350952,0.3884803056716919,8.70670223236084
39,0.3372468948364258,0.3371317982673645,0.11278441548347473,0.0023225080221891403,0.6369602084159851,0.40224987268447876,8.901002883911133
40,0.3583437204360962,0.3582252860069275,0.11602360010147095,0.0024273237213492393,0.6557154655456543,0.41500136256217957,9.019688606262207
41,0.29778239130973816,0.29766178131103516,0.11811240017414093,0.0024924876634031534,0.6280278563499451,0.4267916679382324,9.106369018554688
42,0.21836775541305542,0.2182455211877823,0.11969728767871857,0.002540624001994729,0.5914260149002075,0.43920931220054626,9.198580741882324
43,0.2267230898141861,0.22659912705421448,0.12136831879615784,0.0025923375505954027,0.6512225270271301,0.45160409808158875,9.306876182556152
44,0.20089681446552277,0.20077064633369446,0.12352021038532257,0.00265373638831079,0.6519545316696167,0.4630703032016754,9.412955284118652
45,0.22433176636695862,0.2242036759853363,0.12537111341953278,0.00271457526832819,0.6856518983840942,0.4733160138130188,9.507736206054688
46,0.2385639250278473,0.2384341061115265,0.12704014778137207,0.0027695174794644117,0.7002633810043335,0.4823211431503296,9.590917587280273
47,0.23832568526268005,0.23819422721862793,0.12864507734775543,0.002818189561367035,0.7049455046653748,0.49008771777153015,9.664814949035645
48,0.22965911030769348,0.22952663898468018,0.12960855662822723,0.002861785003915429,0.7032418847084045,0.49671852588653564,9.73161506652832
49,0.21732689440250397,0.2171935886144638,0.13040736317634583,0.002901481231674552,0.6955887079238892,0.5,9.79295539855957
50,0.21022120118141174,0.21008701622486115,0.13125655055046082,0.0029381734784692526,0.6917271614074707,0.5,9.858959197998047
51,0.21474605798721313,0.21461065113544464,0.13242284953594208,0.002977913012728095,0.6938892006874084,0.5,9.928890228271484
52,0.2044314742088318,0.20429469645023346,0.13374662399291992,0.0030203082133084536,0.6753789782524109,0.5,10.003599166870117
53,0.1967581957578659,0.19661977887153625,0.13534784317016602,0.0030659313779324293,0.6631446480751038,0.5,10.070490837097168
54,0.19402103126049042,0.19388116896152496,0.13674405217170715,0.003107070457190275,0.649994432926178,0.5,10.1283597946167
55,0.1828293353319168,0.18268823623657227,0.13795524835586548,0.003142882138490677,0.622512698173523,0.5,10.1741943359375
56,0.18401594460010529,0.18387389183044434,0.1388789266347885,0.003171392250806093,0.5995762944221497,0.5,10.227347373962402
57,0.17451748251914978,0.17437449097633362,0.13978730142116547,0.0032046150881797075,0.5671855211257935,0.5,10.280518531799316
58,0.18147221207618713,0.18132831156253815,0.1406654566526413,0.003238022793084383,0.5684055089950562,0.5,10.340317726135254
59,0.1560879796743393,0.15594294667243958,0.1417572796344757,0.003275802358984947,0.529261589050293,0.5,10.408324241638184
60,0.17006395757198334,0.16991755366325378,0.1430744230747223,0.0033190324902534485,0.5396623015403748,0.5,10.460657119750977
61,0.17697417736053467,0.1768268197774887,0.14399921894073486,0.0033524921163916588,0.5370911955833435,0.5,10.496123313903809
62,0.159113809466362,0.1589658409357071,0.14458458125591278,0.003375263884663582,0.5182216167449951,0.5,10.51941204071045
63,0.15111947059631348,0.1509712040424347,0.1448725163936615,0.0033902586437761784,0.5200069546699524,0.5,10.55363655090332
64,0.15185463428497314,0.15170571208000183,0.14550518989562988,0.0034123545046895742,0.5116249918937683,0.5,10.596820831298828
65,0.13030394911766052,0.13015419244766235,0.14630848169326782,0.0034403372555971146,0.4629199802875519,0.5,10.647000312805176
66,0.1378304660320282,0.13767972588539124,0.1472618728876114,0.00347299687564373,0.46789610385894775,0.5,10.685083389282227
67,0.13646048307418823,0.1363091617822647,0.14782625436782837,0.0034978867042809725,0.458875834941864,0.5,10.714365005493164
68,0.13208016753196716,0.13192850351333618,0.14815381169319153,0.003517084289342165,0.45598745346069336,0.5,10.71120548248291
69,0.15261194109916687,0.15246045589447021,0.14796367287635803,0.0035150100011378527,0.501768946647644,0.5,10.730307579040527
70,0.1518036276102066,0.1516517549753189,0.1483377069234848,0.0035275586415082216,0.5022963285446167,0.5,10.768656730651855
71,0.14472968876361847,0.1445769965648651,0.14914476871490479,0.003552817739546299,0.5009195804595947,0.5,10.80950927734375
72,0.1472208946943283,0.14706727862358093,0.1500341147184372,0.0035798251628875732,0.49216383695602417,0.5,10.851080894470215
73,0.14535114169120789,0.1451965719461441,0.15095846354961395,0.0036074132658541203,0.47654756903648376,0.5,10.892332077026367
74,0.15107299387454987,0.15091736614704132,0.15199360251426697,0.003634892636910081,0.4853176176548004,0.5,10.92453670501709
75,0.13991311192512512,0.13975666463375092,0.15280359983444214,0.0036564189940690994,0.4765031933784485,0.5,10.946442604064941
76,0.13640692830085754,0.13624992966651917,0.15333427488803864,0.003671096870675683,0.49403613805770874,0.5,10.977668762207031
77,0.13999196887016296,0.13983416557312012,0.1541072428226471,0.003692071419209242,0.4980867803096771,0.5,11.017228126525879
78,0.13040196895599365,0.13024312257766724,0.1551177054643631,0.003718729130923748,0.4658230245113373,0.5,11.057229042053223
79,0.1317899376153946,0.131630077958107,0.15612474083900452,0.003745781723409891,0.43605145812034607,0.5,11.084882736206055
